layer,s_baseline_mc_entropy,s_baseline_conf_signal,s_entropy_direction_mc_entropy_slope,s_entropy_direction_mc_entropy_r2,s_entropy_direction_conf_slope,s_entropy_direction_conf_r2,s_entropy_direction_mc_entropy_delta_pos2,s_entropy_direction_mc_entropy_delta_neg2,s_entropy_direction_conf_delta_pos2,s_entropy_direction_conf_delta_neg2,s_confidence_direction_mc_entropy_slope,s_confidence_direction_mc_entropy_r2,s_confidence_direction_conf_slope,s_confidence_direction_conf_r2,s_confidence_direction_mc_entropy_delta_pos2,s_confidence_direction_mc_entropy_delta_neg2,s_confidence_direction_conf_delta_pos2,s_confidence_direction_conf_delta_neg2,s_random_direction_mc_entropy_slope,s_random_direction_mc_entropy_r2,s_random_direction_conf_slope,s_random_direction_conf_r2,s_random_direction_mc_entropy_delta_pos2,s_random_direction_mc_entropy_delta_neg2,s_random_direction_conf_delta_pos2,s_random_direction_conf_delta_neg2,a_baseline_mc_entropy,a_baseline_conf_signal,a_entropy_direction_mc_entropy_delta,a_entropy_direction_conf_delta,a_confidence_direction_mc_entropy_delta,a_confidence_direction_conf_delta,a_random_direction_mc_entropy_delta,a_random_direction_conf_delta,rel_s_entropy_to_mc,rel_s_entropy_to_conf,rel_s_conf_to_mc,rel_s_conf_to_conf,rel_a_entropy_to_mc,rel_a_entropy_to_conf,rel_a_conf_to_mc,rel_a_conf_to_conf
0,0.3545877978898352,0.8937089454084635,0.0010086051766809696,0.011182025734640142,0.0036678795179254362,0.42304066781345184,0.0056883148191264055,-0.012102682485710836,0.005561960950493883,-0.004774737596511813,0.012959524096488104,0.3662100274128417,-0.004461994143431632,0.184273302265033,-0.010916532592382289,-0.0023700326035032138,0.003538593858480543,-0.002777006953954664,-0.010978614506846148,0.623085891914091,0.0017477302654967434,0.12257509543154299,-0.01406841701905559,0.008777779787875917,-0.005640655691425134,-0.006056762069463484,0.3545877978898352,0.8937089454084635,0.0001557287358446291,0.00025541947782037333,-4.0965445805341005e-05,-7.056340575228859e-05,-9.626693751974003e-05,5.579118927290239e-06,0.0028444441198575234,0.0041041096620657155,0.03654813891964332,-0.004992670338990855,0.0004391824444365442,0.00028579715927945157,-0.00011552976737814402,-7.895568922613622e-05
1,0.3545877978898352,0.8937089454084635,-0.009642320085396547,0.7649152616523103,0.005554324011269359,0.8547296970265702,-0.02105316782777661,-0.005351118939288413,0.008943304955959297,-0.009451609715819265,0.00020425428041019917,0.005424795780318718,-0.000241918620571741,0.03131689685933155,-0.006321342180017342,-0.010039140682201797,-0.0019855387657882195,0.003296245694160427,-0.0025518261540574917,0.6227444621244176,7.439287564562922e-05,0.005259413621888084,-0.011343064852796236,-0.003915026475442562,-0.0009436524113016764,-0.0010151064991952286,0.3545877978898352,0.8937089454084635,0.0011327005649218735,-0.0001983439624311245,-0.00012118467944671751,-1.5404701232846207e-05,0.00012369334600720316,-8.633856971917986e-06,-0.027193039757087926,0.006214913747708762,0.0005760330209491804,-0.00027069061109282486,0.0031944149563595124,-0.00022193350917000475,-0.0003417621253971285,-1.7236821128388275e-05
2,0.3545877978898352,0.8937089454084635,-0.004270190029780853,0.5930571081350513,0.0013488321170994613,0.7723600202600855,-0.002298301719129092,0.008724698941805387,0.005700244784355046,-0.0027860193252562393,0.00045671696793043103,0.012633468399245451,0.00022991926732817078,0.05270706969367017,-0.0008432391670066819,0.0034802626224700317,-0.0020154605954885163,-0.0039825053066014915,0.0024179842874812005,0.2968994826532916,0.0007861405953503464,0.40098405972111995,0.002064434480077204,-0.0008814232482108886,0.0017981142997740562,-0.003050975789626431,0.3545877978898352,0.8937089454084635,-0.0001316233165561953,6.60819411276714e-05,-0.00041506676643621176,0.00010302187502375659,5.539556111516797e-05,-1.0434264938075088e-05,-0.012042687467512725,0.0015092521161718785,0.001288022234967955,0.00025726414456228564,-0.0003712009193195322,7.394123273261981e-05,-0.0011705613360253487,0.0001152745259550593
3,0.3545877978898352,0.8937089454084635,-0.0003669517144270783,0.040278660475244255,0.0008363121795026855,0.7007630902782255,-0.007785385777242471,-0.0016030856926226855,0.0018471779376267872,-0.0018244955688715425,-0.004711149360998856,0.7975463455607785,-0.0011038146656856345,0.6768611010747787,-0.01482534089649562,3.219173697288635e-05,-0.004099712103605491,0.0005483540445566648,0.001683443575898026,0.34468412417835687,0.00033381777827504324,0.19869864001134657,-0.0033127415610942346,-0.008650928962160798,-0.00043514626224838704,-0.0017786358743907549,0.3545877978898352,0.8937089454084635,0.00017573444580193387,-8.195194602034217e-05,0.000499054426909451,0.00031862868368637276,-5.3229449549663244e-05,-1.518676181655465e-05,-0.0010348684207714457,0.0009357768922414162,-0.01328627039349655,-0.0012350941224842991,0.0004956020676620456,-9.169869725639436e-05,0.0014074213209798586,0.0003565239951142547
4,0.3545877978898352,0.8937089454084635,-0.006443812123146477,0.9125313505763641,0.0006184412183468366,0.5844298612266318,-0.02136486791598141,0.007634207041119223,0.002393998220562743,-0.0011979444921015325,0.004223772498417496,0.9481410361319212,-0.0015697698227146349,0.9809181191376356,0.007819953731377616,-0.010213996533420866,-0.0019248499423263343,0.004040050700306996,-0.0010923690660597887,0.5769708079191621,0.0004070519264678307,0.5601914028231126,-0.005236683036588696,-0.0013427685321463767,0.0011289768268664124,-0.0005372643371422958,0.3545877978898352,0.8937089454084635,0.001064622732810716,-0.0001069661676882383,-0.0005483429454034017,0.0003170819878578479,0.0001535624209402786,4.9751430749811476e-05,-0.018172684343606395,0.000691993989233466,0.011911781859255505,-0.00175646649927755,0.003002423487627957,-0.00011968792327501003,-0.0015464236182593152,0.0003547933468573796
5,0.3545877978898352,0.8937089454084635,-0.0031830913037686637,0.6291954525850442,0.00019653225441772446,0.14443413577669736,-0.0163706798444036,0.002228551870211981,0.0014185399413109145,0.0008670092672111718,0.0035772789750971165,0.9466286656667274,-0.0017150794693775431,0.9562311386336844,0.006754516378859987,-0.010418182163266454,-0.004021241515874796,0.003004033759236302,-0.001972269669388907,0.9368473102710344,0.00048697404397857777,0.45050237554613304,-0.004674056936831539,0.0020288932712477226,-0.00013197550674304281,-0.001947765479485164,0.3545877978898352,0.8937089454084635,-0.0029816776613006413,6.373907625678576e-05,0.0001389102358371197,0.00038976076245322844,0.0004121086548547481,-1.9854903221538933e-06,-0.008976877723123456,0.00021990633016199783,0.010088556336077081,-0.0019190581880028938,-0.008408855801143506,7.131972504499691e-05,0.00039175131424087217,0.0004361159910680887
6,0.3545877978898352,0.8937089454084635,0.0016456872919214946,0.09717340260084646,-0.00013905433447740294,0.034504858989972215,0.008620673948316837,0.010151665777084429,-0.0026650094985962713,-0.0019991757422685996,0.002081288475657635,0.7383918192232246,-0.0005965378585091793,0.3696969610566356,0.007363328989013096,-0.0011809203441953131,-0.0034129703044889492,-0.0008264239281414731,0.0018229021811592225,0.3516784004382945,-0.0012291987446839154,0.6898758016170619,0.010170212299562942,0.003012201961828498,-0.004236487785975074,0.0003717287530502489,0.3545877978898352,0.8937089454084635,-0.00038333294738546186,-1.8744572996998166e-05,0.0005731146887410499,3.727747499959744e-05,-8.174408110789289e-05,1.3109793265408953e-06,0.004641127815776626,-0.000155592416515255,0.005869599822789893,-0.0006674856076734644,-0.0010810663809265014,-2.097391224883744e-05,0.0016162842944728389,4.1710978939077335e-05
7,0.3545877978898352,0.8937089454084635,-0.004190927292618561,0.7100788364144421,0.0012412426082188876,0.30967811717081856,-0.0034638345893472366,0.016097734603681635,-0.0020284612476824115,-0.00457890133559713,0.006936444951100843,0.8733580215538195,-0.001722482993414526,0.41127319513412985,0.017455754969269044,-0.01021693892194886,-0.005459638342261375,-0.00180106808245184,0.00122214372935964,0.1689973173344477,-0.0013725985153551024,0.739623067723376,0.010443192207021557,0.0033365670042501128,-0.0041885421474774365,0.0015490382115046497,0.3545877978898352,0.8937089454084635,-0.0011021175485802504,-3.008578717722532e-05,0.0027582711906871116,-1.3716325163892762e-05,-0.00010397509788162562,0.00023906186719735434,-0.011819152597914877,0.0013888667161674054,0.019561995625286255,-0.0019273422317903253,-0.0031081654674497876,-3.366396558051103e-05,0.007778810232900521,-1.5347642243441806e-05
8,0.3545877978898352,0.8937089454084635,-0.007488912401839341,0.9966740634352738,-0.00044861336941257485,0.09973294317751678,-0.012539216933073472,0.016393389500444777,-0.005713746502995609,-0.0027485249191523398,0.015400634679203981,0.9607685910927245,-0.0011620994348797748,0.1707770778733295,0.03472247558820529,-0.024515220411412852,-0.008876603275537409,-0.005867240324616607,-0.0023427030287733242,0.9249462361931375,-0.00048761020112804686,0.2539867279029836,-0.002498740198595084,0.005647100245114334,-0.0030718119790158482,-0.0009849980622530508,0.3545877978898352,0.8937089454084635,-0.0012992295931326114,-0.00018202525377286616,-0.0023550841637188236,-0.0005006317496297763,0.0001862098831528769,-1.2158105771042926e-06,-0.02112005107453254,-0.0005019680867214988,0.04343250041556341,-0.0013003108459976815,-0.003664056126196033,-0.00020367397541228905,-0.006641751853092561,-0.0005601731438426702
9,0.3545877978898352,0.8937089454084635,0.0046571451058946235,0.745691395352288,-0.0008580664749208623,0.9087114728624225,0.011460446010460146,-0.004500579902087298,-0.0026226218342780827,0.001321804866194931,0.013787103334427486,0.991956553380512,-0.0014204496317788038,0.35708370811448276,0.026204301453544798,-0.02685288470442171,-0.006631593316793305,-0.00253542107343685,-0.000674496068753989,0.36034947328437517,0.00018766561926105338,0.0776419718991681,-0.004609005089150742,-0.003219683061276235,-0.0006792245954276854,-0.0017652252614498432,0.3545877978898352,0.8937089454084635,0.0006707378197461367,-0.0003150775581598486,0.007367535547236903,-0.00038892842829241214,0.00026816606657426023,-1.2935936451019536e-05,0.013133968888973231,-0.000960118480775292,0.03888205803040893,-0.0015893872821532487,0.001891598706266041,-0.0003525505252896899,0.020777746981372098,-0.00043518466531030985
10,0.3545877978898352,0.8937089454084635,0.004158768681850156,0.9759746504989008,-0.0006846189804767324,0.6515347345264569,0.005574725877959319,-0.009352235024853106,-0.0017668933272361187,-3.811860084534935e-05,0.013668284986061947,0.8999836359868449,-0.0011830485055320844,0.28483383071109586,0.030531003344221985,-0.017448749877512437,-0.005659523844718906,-0.0027733418643474117,0.0006734379159990641,0.7983363798843306,-0.00010731879878813165,0.06684598350389846,0.0010214869016393902,-0.0024539781699422503,-0.0008256278286377094,-0.0005334236125151826,0.3545877978898352,0.8937089454084635,0.0014736673887819074,-0.00011957497894765634,0.00013641854980961376,-7.237716019170559e-05,0.0007342713184577687,-0.00015692450602877717,0.011728459655405908,-0.0007660424392013129,0.03854696937515167,-0.0013237514423573105,0.004156001412208078,-0.00013379633219739724,0.0003847243210890095,-8.098515804675773e-05
11,0.3545877978898352,0.8937089454084635,0.008462852236289904,0.8822025506550821,-0.0011930316825184758,0.8682298742340211,0.019559681179816824,-0.009891371913254232,-0.001980489969253596,0.0014726355522869383,0.014843550466078641,0.831562235396133,0.0007191152533418565,0.14137116894368285,0.04214099280245137,-0.01382309288426764,-0.001870008498430109,-0.005874519020319102,-0.0011202377750782078,0.17078172973747938,-0.001362224112651489,0.9352399880104096,0.0003618722934820018,0.009204210653163791,-0.0030684674183526495,0.0020947839866080065,0.3545877978898352,0.8937089454084635,0.002418912331340839,-3.373743593693135e-05,0.009291204223409288,0.0005640668272971494,-7.1781223329348e-05,-6.718143820805267e-06,0.02386673282795585,-0.0013349219437131278,0.041861424883803525,0.0008046414406350043,0.0068217585199938455,-3.7749914119424965e-05,0.026202831227418375,0.0006311527149807666
12,0.3545877978898352,0.8937089454084635,0.035681716644576866,0.9170495322526104,-0.007343479045911816,0.981127357814998,0.08995757107215469,-0.047908595464250525,-0.013683799967169619,0.011775299951434115,-0.000513188214839859,0.007205860105500273,0.009279924857250424,0.9690648312916633,0.01088877069239974,0.012391085430863313,0.012626870736479723,-0.021249325275421005,0.003128265858071667,0.5669928181850978,0.00045787429251868027,0.3615140219143379,0.01299320049642122,-0.0016133114161008266,-0.0004339704712230663,-0.002061674475669739,0.3545877978898352,0.8937089454084635,-0.00916869944892823,0.003188548594713181,8.521770359948277e-05,0.006762216925620956,-0.0003106052616688726,-3.224230806020412e-05,0.10062872117123052,-0.008216857494422337,-0.0014472810905898643,0.010383609680676406,-0.02585734620167838,0.0035677707055465097,0.00024032892306677335,0.007566464406966781
13,0.3545877978898352,0.8937089454084635,0.04107999369640439,0.9945332287278017,-0.00829496764195593,0.9507523387658231,0.07412360595830253,-0.08734382955692127,-0.011899815514683887,0.018909959793090847,-0.03365613409391555,0.9945722771236895,0.015967010293351982,0.9913666799809053,-0.06667363701941209,0.05961975135433023,0.027840712800621836,-0.03409950067102896,0.0010334300752953848,0.11555230435212124,-0.0013539498520698675,0.6605519701052487,0.009003322490219401,0.004280408214544951,-0.005156587451696226,0.0006803687562543237,0.3545877978898352,0.8937089454084635,0.013899889400345311,0.0019978961199520473,0.013294201302924191,0.007641126677393917,5.467746387388672e-05,4.3743655085415334e-05,0.11585281259217863,-0.009281509024355544,-0.09491622186156552,0.01786600702094838,0.039200134587439435,0.0022355109347584326,0.03749198754733937,0.008549905107978518
14,0.3545877978898352,0.8937089454084635,0.05865272607850848,0.9991589087684137,-0.011856607671108162,0.9743060629015987,0.11387291344872214,-0.12053869697512709,-0.017816154330968836,0.028749671757221207,-0.06334093347964849,0.9808884100827987,0.019486800205027875,0.9956433555192677,-0.10579951357220124,0.1398888919787714,0.04018145534396178,-0.040785790845751735,-0.0069430780991617735,0.9997458540968096,-0.0002743162267040898,0.5736974848362729,-0.014335486624040605,0.013858254876492226,-0.0011437526593606195,0.00017868583897751034,0.3545877978898352,0.8937089454084635,-0.003658000823925256,0.008783216610550815,0.01819077307183764,0.02066011866927131,0.0006491398945218108,0.0001270738542079597,0.1654110108344195,-0.013266743867813902,-0.17863258086316752,0.021804414407110548,-0.010316206157386551,0.009827826671843938,0.05130118176680526,0.02311727858987553
15,0.3545877978898352,0.8937089454084635,0.0957269302083433,0.9606630209264165,-0.022347324493684238,0.9832305298459,0.2271647895552451,-0.1438204008658431,-0.051773170515894806,0.040197176143526914,-0.10456829735381339,0.874100551238513,0.04356095504028751,0.8754074992456494,-0.1132313046249328,0.2599259175785119,0.048965347170829565,-0.11755285289883599,-5.195288603365321e-05,0.3722473637199488,-0.0005216762060136449,0.8687535163339342,-0.0004951688699656454,-0.000107069023263906,-0.0014440152843793186,0.0006403656999270924,0.3545877978898352,0.8937089454084635,-0.009032372077344919,0.009463159829378176,0.01427695884893182,0.006531196430325403,-4.827821569047819e-05,-0.0001298108498253292,0.2699667918016856,-0.025005148050152446,-0.2949010032948204,0.04874176907827445,-0.02547287901923555,0.010588637249292727,0.04026353679933297,0.007307968062622855
16,0.3545877978898352,0.8937089454084635,0.08043760293974438,0.970608724927013,-0.019727528722924107,0.9874158627882047,0.18730664883332793,-0.12723216997001144,-0.044864475667476755,0.035594132527709044,-0.08300871189967438,0.9245345223171003,0.035334377720167766,0.9075441097767691,-0.10813135192282061,0.19949562626483386,0.04547315005958075,-0.09140468977391725,0.0008701702181899461,0.7901647709830552,-0.0005459313973871733,0.9507906776625469,0.002638925912906487,-0.000765806589430873,-0.0013131336768468227,0.0007777044375737452,0.3545877978898352,0.8937089454084635,0.10673160251753872,-0.0164047511368991,0.013925876939320014,-0.01706781710684302,3.5343134853316194e-05,3.46840520699665e-05,0.22684819787491692,-0.022073773373620847,-0.2340991776752111,0.03953678420888854,0.3010019046134761,-0.01835580948493407,0.03927342402133805,-0.019097735559804978
17,0.3545877978898352,0.8937089454084635,0.06884219562041292,0.9741065278514024,-0.012288392827960522,0.9901927300959198,0.15838916710170448,-0.11236758962053497,-0.02714547872543349,0.021807736068964134,-0.03972713487891159,0.9914022493882567,0.020131090694352205,0.9666186986299824,-0.07077052728396666,0.08570568030292636,0.031997246772050736,-0.0474489295780659,0.0033099208415413653,0.9990386775328285,-0.0012006998304386466,0.9998770518047145,0.006832053562975449,-0.006457731736203065,-0.002443411757548697,0.002371227473020543,0.3545877978898352,0.8937089454084635,-0.0011795897124102228,-0.0004386099576950686,-0.022327064059791124,-0.06837532152235537,0.00024522451839098514,-0.00020916057626418905,0.19414710836101898,-0.013749882320294105,-0.11203751261416553,0.022525331986188668,-0.0033266506050969712,-0.0004907749440670586,-0.06296625036919005,-0.07650737063072016
18,0.3545877978898352,0.8937089454084635,0.07564130866083743,0.9661372871515695,-0.011140236972978241,0.983063705016889,0.1756838495522971,-0.11955182412071735,-0.025075549393892338,0.0189194640517234,-0.04300339859166375,0.9871725065204513,0.019410046244138102,0.9660140477864542,-0.0753618937010469,0.0952405704656849,0.03047485250234594,-0.04560412524640545,0.004173206167138333,0.9995443144904639,0.0007353973447056745,0.9648282854106084,0.00855859151342886,-0.008193587629745425,0.0018053951114418432,-0.0012174300203720012,0.3545877978898352,0.8937089454084635,-0.02978235370886978,3.0462294815514213e-06,-0.0365300730615854,-0.03366834279894837,0.00038276640756518265,-6.620513399435701e-05,0.2133218038268141,-0.012465173399250998,-0.12127715292962288,0.021718531904441077,-0.08399147936309609,3.408525221999611e-06,-0.10302123558390104,-0.03767260356061501
19,0.3545877978898352,0.8937089454084635,0.06957869297937354,0.9714699832834089,-0.009795183525796513,0.9879037813821289,0.16013524750771468,-0.11156334688113928,-0.021852408871054774,0.0171315420567989,-0.045698292035344756,0.9844319173527963,0.019232680547655676,0.9632754401336416,-0.07831534419085073,0.10154481044563002,0.029702624931931543,-0.04556272676587114,0.00036395261036941263,0.6615174708387447,-0.0001466193355140326,0.9132999872490803,0.0013006491184933688,-0.00011928601656102655,-0.00016110138595104573,0.00033720957239458116,0.3545877978898352,0.8937089454084635,-0.0022700797900324643,-0.002299444422125929,-0.03431548538268542,-0.017136120140552547,0.00023803784182135912,-0.00011483063797168569,0.19622416054201203,-0.010960149359722133,-0.1288772267610362,0.02152007165919718,-0.006402024557928364,-0.0025729231355908428,-0.0967757085463688,-0.01917416204525132
20,0.3545877978898352,0.8937089454084635,0.061800606690209724,0.9778869065160887,-0.008414511158016724,0.986511706028109,0.1398945641942555,-0.10192119004710548,-0.018916659876704323,0.014598962098360202,-0.041852560457744145,0.9900726007198337,0.018516150504089245,0.9672843093448301,-0.07416959692447561,0.09119613186048808,0.02913471935689449,-0.04361679182946687,0.0007675310551380634,0.8330777192592366,-8.147344132610776e-05,0.4594997159503641,0.0007413917663506853,-0.00228470408997955,-0.0003480392396449927,-2.827771008029334e-05,0.3545877978898352,0.8937089454084635,-0.0026027566328411522,-0.0013381403535603908,-0.023892980558448462,-0.012834697455167965,0.00010851891614344078,-4.329180717477232e-05,0.17428858820858295,-0.009415270151705743,-0.11803158683634983,0.020718322893843885,-0.007340231808117062,-0.0014972887542809624,-0.06738241050774013,-0.014361160332016096
21,0.3545877978898352,0.8937089454084635,0.05719713183237743,0.9797453029322446,-0.007831864306801226,0.985152083832278,0.12880271291884127,-0.09503904202429109,-0.017679666742682287,0.013464178755879463,-0.03836231705405928,0.9908779232315453,0.01717424260837989,0.9701781262210397,-0.06815160770216605,0.08334961714281236,0.027421783953905043,-0.0401483703255654,0.0002706616110956775,0.8526919567206253,-0.0004184522463215479,0.7547096033400567,0.00031750182407747074,-0.000780736676921745,-0.0013555781543254097,0.00030647539595740625,0.3545877978898352,0.8937089454084635,-0.050641065812087604,0.005071797028183833,-0.040952428831369625,0.0026841389089821144,0.0002773381973383837,-0.0002807633827129896,0.16130597886548728,-0.008763327643790928,-0.10818848613052906,0.019216818514142232,-0.14281671877445987,0.005674998615870185,-0.1154930572204656,0.0030033703061519063
22,0.3545877978898352,0.8937089454084635,0.053261892753167846,0.9843241637795552,-0.0073084052223385465,0.9881058415826602,0.11780187112803109,-0.09074317818236521,-0.01630375471711154,0.01280019463598736,-0.036608943188482054,0.9924058701488714,0.016666361845114767,0.9694316055155318,-0.06563454722221651,0.07882666776480618,0.02644451010227189,-0.03895586919784544,-0.00014958227284750673,0.4195162325676985,-7.684910942240164e-05,0.3775632031305194,-0.0006843214637289319,-4.905784153386161e-05,-0.0003895585338276053,-7.029581069928348e-05,0.3545877978898352,0.8937089454084635,-0.10802823539765086,0.01233479917049396,-0.04588565433456093,0.01301164214313022,6.294854897226365e-05,-3.8377895951291485e-05,0.1502079120323127,-0.008177612252720925,-0.10324366322344762,0.01864853421322478,-0.30465863755191464,0.013801807885962723,-0.1294056214219105,0.014559149497136721
23,0.3545877978898352,0.8937089454084635,0.049834698400127476,0.9863269064261693,-0.006385033037056002,0.9914408534794886,0.10974564572388773,-0.08560179933114342,-0.013980103477835515,0.011381164744496353,-0.034313749768108734,0.993996376438712,0.015065189772792047,0.9764116413454602,-0.062303514982340824,0.07318694026034794,0.024711714401841278,-0.03463256633281708,0.0003626427846267639,0.9910220569896213,-0.00011957271475543276,0.9604291182782543,0.0007292790899131041,-0.0006223234093825081,-0.0002754653741915414,0.00019131826857732293,0.3545877978898352,0.8937089454084635,-0.14289351390500085,0.01489570511877536,-0.06359451068739869,0.025327871084213194,-0.0001916034993094673,-2.798831959571757e-05,0.14054262074638657,-0.00714442108905799,-0.09677081380778216,0.016856930715745053,-0.402984859477301,0.016667288825186127,-0.17934771322039822,0.028340178549558174
24,0.3545877978898352,0.8937089454084635,0.04303195063587688,0.9897767834731471,-0.004295883536338834,0.9798003543656776,0.09405919306969734,-0.07573856342176438,-0.009882148876786179,0.007200227349996591,-0.027554671620754034,0.995726259571721,0.012462156870386046,0.9852980948479467,-0.05096187716000711,0.05883456162700895,0.021459308221936202,-0.027857392996549546,0.001112623561986532,0.9952380372665198,-0.0001568795792017856,0.8590090654051177,0.0023778759808433803,-0.0020127917337230405,-0.0004649950961272964,0.00014034288128206285,0.3545877978898352,0.8937089454084635,-0.15343852208054157,0.008885047569870741,-0.0693224958301289,0.03621097569167597,0.00021004987899991834,-5.366412798546438e-05,0.12135767471966484,-0.004806803779249888,-0.07770902378686713,0.013944312557697746,-0.43272363852805923,0.009941768643492643,-0.19550163948863886,0.04051763818378924
25,0.3545877978898352,0.8937089454084635,0.03907530422234438,0.9912846182676058,-0.003419930476629943,0.981006001908481,0.08500486775825267,-0.06958369351672444,-0.007857629895210327,0.005773381635546637,-0.02682173579527124,0.995311130057019,0.011903586732713821,0.986050146296456,-0.04948088863282463,0.05739114042196891,0.02057504329085369,-0.0265889253169298,-0.00012172355295814661,0.7127345754583806,0.0007217037708264002,0.9804233265065989,-8.9986428501998e-05,0.0004014987694487271,0.0012238512088854625,-0.0016679887225229395,0.3545877978898352,0.8937089454084635,-0.12532900540798436,0.0051279914081096,-0.03395662491617257,0.019220268741250046,-0.00013838514161762516,9.54226156091309e-06,0.110199235435858,-0.0038266714171322157,-0.07564201575713649,0.013319310267475694,-0.3534498540384689,0.0057378763348574155,-0.09576365886883213,0.02150618368541176
26,0.3545877978898352,0.8937089454084635,0.03283996663780336,0.994595641539948,-0.0033581112492503005,0.986746128095127,0.07019904598651922,-0.060051887341105614,-0.007561806038022145,0.005848267942667129,-0.020988738808684917,0.9972631809928437,0.010416240009038047,0.9889946467704934,-0.039563195247465044,0.04429330709215723,0.018316017240285754,-0.023010500267148015,0.0018034484384075091,0.9995864363896504,0.0005132694526722266,0.9999474122729821,0.0036844251254418148,-0.003590594975006134,0.0010290152182180767,-0.0010304417262474441,0.3545877978898352,0.8937089454084635,-0.15883141628873998,0.00800350230932212,-0.052115066581172875,0.037676977053284655,0.00016195622719039626,-0.00021574431657789273,0.09261448598410658,-0.003757499873424115,-0.05919193760639724,0.011655069653887571,-0.44793254938255483,0.008955378986012246,-0.1469736603778007,0.042157994777667414
27,0.3545877978898352,0.8937089454084635,0.02900054852802561,0.9959157967389094,-0.0031430775225162106,0.9890138129256459,0.061640481744543674,-0.05369947342951492,-0.007004911214113285,0.0055549813359973,-0.01732717152246327,0.9981611827646992,0.009304417629252423,0.9910367917839235,-0.0330924267749651,0.036286486425087805,0.01659011298418045,-0.020370880752801912,0.00028632552789834546,0.9181870046349051,0.00023634968558598098,0.997159488907399,0.00040297349449247566,-0.0007534015533747773,0.0004412961304186558,-0.0005026334126791987,0.3545877978898352,0.8937089454084635,-0.17310627762984948,0.009768077388405794,-0.03207367620547302,0.03056717555224897,0.0002765247536201665,-1.203199227639562e-05,0.08178665114989553,-0.003516891644269812,-0.048865673397612365,0.010411015439707728,-0.48819017084065275,0.010929819421177845,-0.09045341209242007,0.03420260668676473
28,0.3545877978898352,0.8937089454084635,0.0261823977485198,0.9960804621691274,-0.002795274315696,0.9921759931899192,0.055636701789335385,-0.0485345637966384,-0.0061090789437293624,0.005010794728994239,-0.013857923436903792,0.9983659393671975,0.008017354448636379,0.9943854231727925,-0.026522822391707446,0.02914731118071362,0.014660389438271637,-0.017241374328732628,-0.0007959938543060447,0.9929095773266856,0.0007732161517903673,0.9988394368055905,-0.0017717022980408004,0.0014838364797956083,0.0014839139332375462,-0.0016074429849783911,0.3545877978898352,0.8937089454084635,-0.1296413321926957,0.007047079563140879,-0.018130695279687636,0.009289817705750436,-0.0003108558023813268,0.0002560445368289255,0.07383896993729676,-0.003127723326545019,-0.03908178318422911,0.00897087859512484,-0.3656113745712513,0.007885206475045476,-0.05113175181882755,0.010394679110551579
29,0.3545877978898352,0.8937089454084635,0.022833301851537643,0.996067696770421,-0.002500056533959891,0.9891300411043105,0.04852402921125759,-0.04242056992457943,-0.005588110074400965,0.004425141692161572,-0.010677946129958798,0.9976272525970532,0.007273499318905054,0.9950386423571145,-0.020153298432996958,0.022514097730745586,0.013391394212841967,-0.015569213941693416,0.00019412608556137974,0.9612376278092921,-0.0005138496759167884,0.9929134539233253,0.0003158625973933016,-0.0004490408442993088,-0.0011176897138357456,0.0009232211261986922,0.3545877978898352,0.8937089454084635,-0.1190653849969385,0.006834946259856034,0.021715285351383506,-0.038304973676800746,0.0006369573539511397,-0.00034996047616009385,0.06439393004333327,-0.0027973945508817277,-0.030113687480233787,0.008138554902324215,-0.3357853420379971,0.007647843624002408,0.06124092673411763,-0.04286068062046053
30,0.3545877978898352,0.8937089454084635,0.018570162964598767,0.995222743539041,-0.0004281021479451896,0.9989671943298696,0.03977016698627267,-0.0342787803437386,-0.0008120880722999324,0.0008738992810249924,-0.00484200670956756,0.9996288981564061,0.006143342321640572,0.997812243780597,-0.009439752560574555,0.009979793828097161,0.011623729497194257,-0.0128949527293446,-0.0008771469648750562,0.9989048995074743,-0.00013902870465440023,0.9939754101927386,-0.0018078479122292657,0.0017144883462849592,-0.0002602303077775536,0.0002911442468563896,0.3545877978898352,0.8937089454084635,-0.13550061415706294,0.0013945979773999362,0.01298600374197123,-0.009483825013041347,0.00018225003460731193,-0.0001609280010064218,0.05237112803968574,-0.0004790174140525454,-0.013655311148275597,0.006873985488455417,-0.3821355809856741,0.0015604610254432946,0.0366228161805099,-0.010611760195268976
31,0.3545877978898352,0.8937089454084635,0.002914809600548135,0.9998943238147588,0.0004419561556556352,0.9993659000951832,0.005861026312923068,-0.0057693456666311205,0.0008452783375977324,-0.0009189846068619056,-0.0008622201500775024,0.9992407876358351,0.0047518558546639,0.9984519453575061,-0.0016529188706772002,0.0016978897555964267,0.009098783805966404,-0.009921308308839749,-1.134831809278867e-05,0.0768199525809214,-0.00044231134853518056,0.9979630565931467,0.0001139741877947964,0.0001333414693363011,-0.0009322729855776313,0.0008460153887670518,0.3545877978898352,0.8937089454084635,-0.14489301151406833,-0.029693107947707187,-0.04712485039141029,0.05548837582766997,-7.112386908075807e-05,-0.0002848603824774365,0.008220276100571628,0.0004945191137743868,-0.002431612580039713,0.005317006033202562,-0.4086237946605379,-0.03322458402174341,-0.13290037240946243,0.06208774804453746
