,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm,mc_entropy,conf_signal
mc_L12_c,1.0,-0.9611250606117375,-0.09960268530655815,0.8311337707743138,-0.8660792753969513,0.15268512968823872,0.7774723900573225,-0.8351908648655668,-0.10229619298692147,0.7627948612428016,-0.8156052598693512,0.2998469957082436,0.7365797186965882,-0.774628811637361,0.4702157314220263,0.7279621708242483,-0.7641705784920418,0.4791904474785823,0.7143097141903798,-0.760561954314238,-0.2411374033475416,0.7129028687245332,-0.7648862801839458,-0.15447716175042603,0.7482738049727248,-0.7554204880832758,-0.6973028813901218,0.7766503050708472,-0.8716218888941425,-0.3585118672826772,0.8669451767784744,-0.846151294758241,-0.18590253995332007,0.8020507434299639,-0.8135066111691863,0.43278887000555855,0.7931291652802602,-0.7966262235137118,0.5910537633624954,0.7792407878957803,-0.7945715812562913,0.6841770633097014,0.782304124955402,-0.7824792039110726,0.6209314479375133,0.7899158721699433,-0.7913972096889851,-0.5523644347243297,0.7928509501635108,-0.793578941226515,-0.20073380181979925,0.8013308208980997,-0.7974622787473207,-0.7768493460637593,-0.5925171910384924,0.6510223402031737
mc_L12_e,-0.9611250606117375,1.0,0.017107397938351074,-0.8210105196088596,0.8718126698331764,-0.20165768835175626,-0.7701634982793042,0.8394208645051958,0.030453836628131822,-0.7566717165466035,0.8193117284689827,-0.38359131022786874,-0.7408376223290107,0.775982123208583,-0.49151753741098414,-0.7323785769596824,0.7682377634020584,-0.4928731943252434,-0.7189182408278302,0.7668059094171081,0.21280858072684922,-0.7172779877012575,0.7739602243582278,0.15612221544522153,-0.7519972432187934,0.7660890110642538,0.7003972131235515,-0.7892495095680288,0.9231629143997245,0.37872588068410146,-0.8673988259394924,0.8665961967057663,0.12769402569152005,-0.7932416598247474,0.8223775229534465,-0.4436325691491409,-0.7818533134865193,0.8017371660032089,-0.6214109620975385,-0.7521262812173798,0.7845558490045431,-0.6703069504169287,-0.7624946671966126,0.7770988580024777,-0.6169127454219778,-0.773263904747199,0.7930401466144996,0.5271652108586657,-0.7762659233461509,0.7960607649471503,0.18144256458703223,-0.7939798440501163,0.8040893865314332,0.7717247996898013,0.5823605422326565,-0.6083572220315318
mc_L12_rnorm,-0.09960268530655815,0.017107397938351074,1.0,-0.04755740225555669,0.03209784918560907,0.13835783560108741,-0.064993601021627,0.04139833624955141,0.13448711558383136,-0.04603048807129565,0.03331941658900206,0.22548835002115675,-0.0631737215131616,0.03618645196091842,0.05592696122125704,-0.05671760585975787,0.033684845651665594,0.10011829923613848,-0.05230179053437839,0.033145581564165465,0.146178871800568,-0.05264559409026711,0.033256587095783725,0.14047399947309247,-0.06895824972783231,0.0503502332923895,0.06015576549452049,0.006832869464515077,0.01529899949575941,0.26441697832283895,-0.024468784943741478,-0.0014717744166148805,0.10669481343832642,-0.07337871648724922,0.036088710487765976,-0.1101548225145893,-0.06643303466733999,0.036369952864649654,-0.02175393839917349,-0.07894072203322305,0.06962141397721631,-0.09981271974241847,-0.07409272978704759,0.0692912243584878,-0.14036474093983392,-0.07178068915816029,0.06713595815939612,0.08894846066830746,-0.07754898390547506,0.08050566591272579,0.07113252145547522,-0.07573870497543685,0.08129259378905947,0.06996649021307517,0.010527529389314156,-0.0681014498270024
mc_L14_c,0.8311337707743138,-0.8210105196088596,-0.04755740225555669,1.0,-0.9383533411965461,0.20422649324013004,0.9586891692230275,-0.9282551625578864,-0.12318103515831207,0.9337823644460789,-0.923044232657424,0.39388053798177114,0.9266318348462506,-0.9112320526531047,0.6109220679711737,0.9273168977450087,-0.8976395107836459,0.6304057971762359,0.9118176776358822,-0.8928231239461487,-0.23056054174989155,0.9097138584301754,-0.8997213567605101,-0.041571056879002734,0.8783016465294664,-0.8687374722627726,-0.7806080391496786,0.6906992099193506,-0.7465427544850426,-0.2949280378301044,0.926236652159676,-0.8961405141039277,-0.2322426900339857,0.9246178955900053,-0.9079262398732283,0.4530450892600637,0.9162342300848939,-0.9045455766580243,0.6127419938520926,0.901396218248763,-0.9046937891904192,0.6920657581507051,0.9052919297781524,-0.8933822352781718,0.5504052960185062,0.9110806101381773,-0.8890863781996988,-0.724637310145687,0.913543263743504,-0.8807568711419237,-0.2617659596818639,0.9112691284228496,-0.8701692281189073,-0.8768659852671895,-0.7772596702266816,0.8149487042234984
mc_L14_e,-0.8660792753969513,0.8718126698331764,0.03209784918560907,-0.9383533411965461,1.0,-0.09849988564544009,-0.9107473269210151,0.9879642788666123,0.21783027138134964,-0.9109549296043593,0.9772695297875409,-0.42581579473000214,-0.8647346770683375,0.9352604503722458,-0.5099857188727935,-0.8736416941452108,0.9329105587812487,-0.5349803292350048,-0.8546691321342851,0.9272384197138737,0.32409580736210414,-0.8503869533472442,0.9275501416085102,0.14224599903285545,-0.8729349623010091,0.897054277092124,0.8277936157199877,-0.7084472496864007,0.7952245015039533,0.3266141276238563,-0.911425089198489,0.9251440768121445,0.15066332386471265,-0.8928680948593888,0.9157564527683038,-0.4228009771729761,-0.8910660449736635,0.9086321449704162,-0.6446330087981027,-0.8686843969545639,0.8954834278518593,-0.7254663898425132,-0.8791214505590493,0.8893012272256202,-0.6024800727287237,-0.8864240595085935,0.8935633452607588,0.6847215776655861,-0.886478548065774,0.8891262445230923,0.2534946500771651,-0.893526634958944,0.8810648781947451,0.8743880850676229,0.7557442443624104,-0.7511193688879828
mc_L14_rnorm,0.15268512968823872,-0.20165768835175626,0.13835783560108741,0.20422649324013004,-0.09849988564544009,1.0,0.19276720280234222,-0.10775416948169776,0.5152642542051541,0.17755202950483137,-0.12323618571300621,0.2918557664854004,0.21863655984031216,-0.12708010347498241,0.22857553961336743,0.21112980372140244,-0.11772158674190701,0.2682320827060399,0.19567084592845468,-0.1157457975623063,0.18033417614016425,0.1918461083595626,-0.12236469646231662,0.18082862975880332,0.13266431285913682,-0.10945620121794833,-0.06894959137589207,0.1761297836489329,-0.23039300719129463,-0.0206796261007968,0.19522124328908094,-0.15507817191178686,0.1297861883973473,0.15871023578574592,-0.1507933240851599,0.1609007709765335,0.1460476825782711,-0.14925901018287419,0.09389521590604707,0.11377789267083784,-0.11989716394411824,0.10754266699381594,0.11575226178289719,-0.11471857546498132,0.10030638650548519,0.12033546052168999,-0.1185745356107655,-0.047250214589471665,0.12285542516292053,-0.11557158511309282,0.010835686086134208,0.12925369812377,-0.1220152604977436,-0.12365849905221006,-0.10245604613001628,0.08233849458081963
mc_L15_c,0.7774723900573225,-0.7701634982793042,-0.064993601021627,0.9586891692230275,-0.9107473269210151,0.19276720280234222,1.0,-0.9358595509238111,-0.11627102575605637,0.9892274106931396,-0.9413025578304605,0.4380362918452826,0.9583612043705743,-0.9348918752297553,0.5954985906012676,0.9640964244834548,-0.9281673701078108,0.6205184683556747,0.9446524958887341,-0.9255980231034978,-0.24201095402060074,0.9424090565555974,-0.9326542602232198,-0.038920762311541506,0.9108490190604372,-0.9019997583000781,-0.8181419229191521,0.6343734906636913,-0.7000074425852675,-0.2597486588863657,0.873132239732136,-0.8488874880812491,-0.2000012822294018,0.9032989138398403,-0.8817328796970981,0.45118329095162407,0.9022368523407469,-0.8869862422501108,0.5995678553119113,0.8899197989205724,-0.8913366242892279,0.6830550303546512,0.8938837726537385,-0.8816060719926204,0.5257666323472886,0.8975041192774122,-0.8734449828183412,-0.7316223113725668,0.8988658001812487,-0.8648463735854798,-0.2549274975158465,0.8902516232732861,-0.8467730777302906,-0.8590702295441556,-0.8103615266875426,0.8110185064815914
mc_L15_e,-0.8351908648655668,0.8394208645051958,0.04139833624955141,-0.9282551625578864,0.9879642788666123,-0.10775416948169776,-0.9358595509238111,1.0,0.2332244880600419,-0.9423138813258386,0.9958973687544708,-0.45321513077001213,-0.8892404176263113,0.9588054667312006,-0.5093784851998142,-0.9017790734564025,0.959233531446329,-0.5366171946784529,-0.8816781132842966,0.9539517636323487,0.33457387872149114,-0.8758322133640534,0.9523719710927928,0.12310863475015797,-0.890268539719976,0.9148166407665959,0.8440309631441736,-0.6796135357495046,0.7672027356277498,0.30305000822282346,-0.8899595116177635,0.9050562980793182,0.14234696345067496,-0.8894793476593597,0.9118118448492664,-0.4179722683857219,-0.8904932899440834,0.908653499944158,-0.6331181003568653,-0.8674562965746716,0.8953195507132392,-0.7172904595559718,-0.8785564770776254,0.8902621819518837,-0.5789143119060131,-0.8850593926569736,0.8924123082809995,0.701181130539417,-0.8848173746385244,0.8877122358786214,0.2660845996591123,-0.8907613772581681,0.8772357597775927,0.8750332992474089,0.7827674929937212,-0.7536334658361988
mc_L15_rnorm,-0.10229619298692147,0.030453836628131822,0.13448711558383136,-0.12318103515831207,0.21783027138134964,0.5152642542051541,-0.11627102575605637,0.2332244880600419,1.0,-0.13918302699807314,0.21715505793756032,0.338361128854853,-0.04870916209454979,0.20382180066203565,0.18535567176041273,-0.08763810764626645,0.23136585157805561,0.15494967994487832,-0.08381871019780299,0.22673284705387797,0.41065511888988315,-0.07216698232748399,0.20354404186841124,0.1562926200241199,-0.11921623062959527,0.1793808560732427,0.23338517828442198,0.05708223984450137,-0.0316560197200206,-0.08515375883602325,-0.0925751535826652,0.10512950309633294,0.08690913887512641,-0.12738595567684685,0.13308319777736097,0.15602635982146804,-0.1469508031693514,0.14403694370587616,0.0060341903865479725,-0.16710096926461196,0.16305683974315008,-0.11523624887455323,-0.16872888268998343,0.16896591061277172,-0.029148880418383934,-0.1618695370351139,0.15196734396700917,0.21225697496163892,-0.15643978435416123,0.15149379779658484,0.16596258396960875,-0.14966024704371703,0.14121942643953406,0.15237857537249577,0.22438065804441223,-0.1879383476876496
mc_L16_c,0.7627948612428016,-0.7566717165466035,-0.04603048807129565,0.9337823644460789,-0.9109549296043593,0.17755202950483137,0.9892274106931396,-0.9423138813258386,-0.13918302699807314,1.0,-0.9545846801185214,0.45960946270848435,0.9521430927101436,-0.9454930280168667,0.5799693362754609,0.9620540478761944,-0.9429254388426546,0.6211463564402505,0.9426844825000743,-0.9412910292475501,-0.25987855332330284,0.9398521438851414,-0.9463498981907033,-0.04975972690873396,0.9151245337499789,-0.9122878965762831,-0.8345327782191928,0.6151483839106608,-0.6847703573732873,-0.24402829983263616,0.8510679029619661,-0.8339111516805776,-0.18490317284105648,0.8821101250183089,-0.868287863057116,0.4290117902871535,0.8871531290766327,-0.8771098369078383,0.5877335779163261,0.8743297435886407,-0.880286075987782,0.6757120293763001,0.8799708308694933,-0.872434489402655,0.5166163176015509,0.8832556849871335,-0.8643814218028122,-0.7316769100039703,0.8832360044776714,-0.8557934473405131,-0.2657894274509408,0.8756775340664881,-0.8375641306810219,-0.8521910016072013,-0.8189425037453806,0.7957814300700611
mc_L16_e,-0.8156052598693512,0.8193117284689827,0.03331941658900206,-0.923044232657424,0.9772695297875409,-0.12323618571300621,-0.9413025578304605,0.9958973687544708,0.21715505793756032,-0.9545846801185214,1.0,-0.49056134661604317,-0.9022066309345763,0.9679410355984543,-0.5326768999042464,-0.9167940803542121,0.9695331747414577,-0.5636689155354182,-0.8976126014752909,0.9641365155319006,0.33020551331149306,-0.8920774253133626,0.9623824380196077,0.11387267003658814,-0.8996140051385972,0.9217525070815658,0.848922679397318,-0.6686262656998176,0.7508573183193766,0.29019213320679405,-0.8770477568920508,0.8927307664989323,0.1383906192260764,-0.8841090974547695,0.9065357652422806,-0.4106404299285674,-0.8872239850324201,0.9067222715606892,-0.6263571390080969,-0.8639178144046002,0.8924230237143824,-0.7073523362350019,-0.8758215919422725,0.8884656446995993,-0.5599521643533205,-0.8824213975322861,0.8896141384069516,0.7105066938341826,-0.8817732954339204,0.8838738400031325,0.26885252238596585,-0.8867107280208123,0.8715072102481577,0.8745051432891485,0.7958243541342902,-0.7556391334853282
mc_L16_rnorm,0.2998469957082436,-0.38359131022786874,0.22548835002115675,0.39388053798177114,-0.42581579473000214,0.2918557664854004,0.4380362918452826,-0.45321513077001213,0.338361128854853,0.45960946270848435,-0.49056134661604317,1.0,0.4844461080020426,-0.4878722331948905,0.5495430437260392,0.49416227955168246,-0.4955234682532439,0.5132997133942727,0.49076627229455805,-0.49315364283438456,0.0732865819214367,0.48694144366907105,-0.4983903606858013,0.08733443903120705,0.44209752043116657,-0.450962499136129,-0.35864023631011943,0.3493642561015604,-0.37738095107491276,-0.16351007200045384,0.36762196534600156,-0.4305926495362363,0.02751465057680408,0.39208982087463123,-0.4478775247694215,0.20972355841112902,0.3871219804308603,-0.44980322480369817,0.4355866303158511,0.33259946916855665,-0.3928792626930457,0.30856293013167213,0.3561894886325556,-0.40446890461132806,0.21660092293842678,0.3704636421594782,-0.42311873870439715,-0.26082633519373827,0.3713342949935361,-0.41743818959464557,0.0032521330928872603,0.3935596292786929,-0.4129902821687143,-0.41382573351116086,-0.38987118297055295,0.24631798990240691
mc_L18_c,0.7365797186965882,-0.7408376223290107,-0.0631737215131616,0.9266318348462506,-0.8647346770683375,0.21863655984031216,0.9583612043705743,-0.8892404176263113,-0.04870916209454979,0.9521430927101436,-0.9022066309345763,0.4844461080020426,1.0,-0.9434563809242648,0.6880357950008111,0.9925988750474916,-0.9278725513522141,0.6499350953390666,0.9875736978026968,-0.9275015185393357,-0.21061443306390948,0.9795062796707503,-0.929961089713021,0.004513217816155621,0.8917199277495883,-0.8710128752644615,-0.7601818724927736,0.6280371177086137,-0.6886915206309342,-0.2759136891563703,0.8421246353954315,-0.8301143524924756,-0.16025559957275243,0.8907789013231259,-0.879358899126396,0.46296534819474866,0.8881793597996894,-0.8857028871518046,0.6251543264409042,0.8747834417925516,-0.8893944043036092,0.6538989570161958,0.8829504551579935,-0.8835554594968285,0.4920335606445585,0.8901296288973645,-0.8796074568634011,-0.7495855103436752,0.8926306885332269,-0.8685821559228469,-0.2800751025818859,0.8899006771944523,-0.8496120311855541,-0.8632086289500194,-0.8199593055342261,0.7927453330944142
mc_L18_e,-0.774628811637361,0.775982123208583,0.03618645196091842,-0.9112320526531047,0.9352604503722458,-0.12708010347498241,-0.9348918752297553,0.9588054667312006,0.20382180066203565,-0.9454930280168667,0.9679410355984543,-0.4878722331948905,-0.9434563809242648,1.0,-0.6284419411532709,-0.9518070437344385,0.9933305269612386,-0.6002991105114028,-0.9496107451645701,0.9919875409405128,0.35904859218507,-0.9440994138705499,0.9821416249166961,0.0627331874998128,-0.8945776992110427,0.9069062276295248,0.8047858812663432,-0.6495594872154903,0.7203172117485419,0.29529048594105534,-0.8529450506590879,0.8650796508285234,0.13755817668025747,-0.8836430566933408,0.8991513292506019,-0.4101323124004032,-0.8868889486072781,0.9036395666120218,-0.6209879793502406,-0.8688961592297263,0.8969301726648572,-0.6770957965867161,-0.8810976627551841,0.8939611474082699,-0.5166931255985208,-0.8886842295500981,0.8936209558626604,0.7486252699949277,-0.8881138557530045,0.8817634140094155,0.29219563155527045,-0.8906948340028492,0.8648094610199224,0.8757297205559469,0.8371316301740156,-0.774819692614425
mc_L18_rnorm,0.4702157314220263,-0.49151753741098414,0.05592696122125704,0.6109220679711737,-0.5099857188727935,0.22857553961336743,0.5954985906012676,-0.5093784851998142,0.18535567176041273,0.5799693362754609,-0.5326768999042464,0.5495430437260392,0.6880357950008111,-0.6284419411532709,1.0,0.6678166181596794,-0.6000504613059188,0.8160028677789226,0.6935433917659845,-0.5967654699864631,0.023237879107439966,0.697739343829664,-0.5945997757457283,0.18002995316097742,0.5457144083464214,-0.5051301893185274,-0.34723037307868926,0.5097738809993396,-0.5026685823865794,-0.26906241055699937,0.5436924875458242,-0.5398504573585972,-0.09083537799183555,0.5747214803359566,-0.561730971887717,0.33696423848485096,0.5572510857453438,-0.559993800111633,0.4118220014677948,0.5376738259131163,-0.5490908596004546,0.384076333156529,0.5450267052726908,-0.5449236216322593,0.32114151375289307,0.5562833227909385,-0.5444121415629568,-0.4179088818635223,0.5601036674783104,-0.5254924625364537,-0.018740014323377883,0.5573734865050926,-0.5112176850593865,-0.5357737481379025,-0.5324910846004326,0.5083493892969215
mc_L20_c,0.7279621708242483,-0.7323785769596824,-0.05671760585975787,0.9273168977450087,-0.8736416941452108,0.21112980372140244,0.9640964244834548,-0.9017790734564025,-0.08763810764626645,0.9620540478761944,-0.9167940803542121,0.49416227955168246,0.9925988750474916,-0.9518070437344385,0.6678166181596794,1.0,-0.9462615065545021,0.6477522875999924,0.9915441535190715,-0.9456787659385952,-0.2533203070525145,0.9867181778519728,-0.9507638269388645,-0.028974476179119656,0.9170016324144357,-0.9017918885078622,-0.8031275491638773,0.6134053816140885,-0.6719021840449804,-0.2623274839312909,0.8339283977817172,-0.8268514930071061,-0.15940185535651966,0.8889114171365808,-0.8796084429958902,0.44798221189385395,0.8893936065901897,-0.8894226113719509,0.6152904372646802,0.8724682607695123,-0.8883411273686358,0.646817380428687,0.8830351196990873,-0.8852088880438378,0.47299817844779757,0.8898835659281119,-0.8799257870917249,-0.7582936276556561,0.8914174537587545,-0.8695548616573093,-0.2864287925088182,0.8889810933875247,-0.8490349225375985,-0.866017949715478,-0.8488287370080605,0.7967437884270882
mc_L20_e,-0.7641705784920418,0.7682377634020584,0.033684845651665594,-0.8976395107836459,0.9329105587812487,-0.11772158674190701,-0.9281673701078108,0.959233531446329,0.23136585157805561,-0.9429254388426546,0.9695331747414577,-0.4955234682532439,-0.9278725513522141,0.9933305269612386,-0.6000504613059188,-0.9462615065545021,1.0,-0.5847080813347205,-0.9368507315332228,0.9966949561400885,0.4008842533906063,-0.9350494783598584,0.9908276625826197,0.12050339889552113,-0.9119536427372379,0.9310925668843176,0.8448169617872922,-0.6343492390205054,0.7065053842734526,0.2868165227421197,-0.8340584615123183,0.8523452957345031,0.1290935908553235,-0.8718026559777396,0.8903985641781921,-0.4014766237005914,-0.8780762285051548,0.8976581519201778,-0.6202404402665392,-0.8579828126637743,0.8873805162416715,-0.6743881732857625,-0.8722000567012701,0.8878337255630101,-0.5104992574107723,-0.8795612790705708,0.8870064443272083,0.7423221070849126,-0.878603342879532,0.8774447533340782,0.2893668056880659,-0.8819493022761529,0.8600884591919294,0.8716430770816157,0.8503879403205007,-0.7674876644451212
mc_L20_rnorm,0.4791904474785823,-0.4928731943252434,0.10011829923613848,0.6304057971762359,-0.5349803292350048,0.2682320827060399,0.6205184683556747,-0.5366171946784529,0.15494967994487832,0.6211463564402505,-0.5636689155354182,0.5132997133942727,0.6499350953390666,-0.6002991105114028,0.8160028677789226,0.6477522875999924,-0.5847080813347205,1.0,0.6565433564888058,-0.5815273999491697,0.1436083447839042,0.6628579982601747,-0.5897859244902872,0.24131909546322694,0.5747467879525422,-0.5411053669308233,-0.42574977427209326,0.47878714263157446,-0.47212742674052194,-0.18179898740337483,0.568202323467303,-0.527223826175685,-0.17103837582675543,0.5765965190811848,-0.5445683995085286,0.29951086960623036,0.567272186545275,-0.5479508769468947,0.3631271219692709,0.5522580375550807,-0.5442000075310286,0.3931412625594611,0.5545271824512614,-0.5360984681413886,0.3350145589344649,0.5603058157895925,-0.5291619356959095,-0.4333229923986354,0.5615296647567727,-0.5159889643668522,-0.076957385344208,0.554171675604864,-0.5039568889431725,-0.5334141105030599,-0.5336758997248104,0.5229289694312435
